date,home,score1,vis,score2,location,score_diff,home_conference,vis_conference
2021-12-03,Canisius,68,Fairfield,74,Canisius,-6,Metro Atlantic Athletic,Metro Atlantic Athletic
2021-12-03,Purdue,77,Iowa,70,Purdue,7,Big Ten,Big Ten
2021-12-03,St. John's,75,Kansas,95,St. John's,-20,Big East,Big 12
2021-12-03,Siena,72,Manhattan,77,Siena,-5,Metro Atlantic Athletic,Metro Atlantic Athletic
2021-12-03,South Dakota St.,112,Minnesota Morris,47,South Dakota St.,65,Summit League,NA
2021-12-03,Niagara,49,Monmouth,57,Niagara,-8,Metro Atlantic Athletic,Metro Atlantic Athletic
2021-12-03,UTEP,69,New Mexico St.,72,UTEP,-3,Conference USA,Western Athletic
2021-12-03,Louisiana,80,New Orleans,67,Louisiana,13,Sun Belt,Southland
2021-12-03,San Jose St.,76,North Dakota,51,San Jose St.,25,Mountain West,Summit League
2021-12-03,Boston College,73,Notre Dame,57,Boston College,16,Atlantic Coast,Atlantic Coast
2021-12-03,UC Santa Barbara,86,Pepperdine,74,UC Santa Barbara,12,Big West,West Coast
2021-12-03,Virginia,57,Pittsburgh,56,Virginia,1,Atlantic Coast,Atlantic Coast
2021-12-03,Iona,80,Rider,54,Iona,26,Metro Atlantic Athletic,Metro Atlantic Athletic
2021-12-03,Illinois,86,Rutgers,51,Illinois,35,Big Ten,Big Ten
2021-12-03,Quinnipiac,59,Saint Peter's,69,Quinnipiac,-10,Metro Atlantic Athletic,Metro Atlantic Athletic
2021-12-03,South Florida,64,South Carolina St.,65,South Florida,-1,American Athletic,Mid-Eastern Athletic
2021-12-03,Boise St.,63,Tulsa,58,Boise St.,5,Mountain West,American Athletic
2021-12-03,Texas,88,UT Rio Grande Valley,58,Texas,30,Big 12,Western Athletic
2021-12-03,Portland,82,VMI,90,Portland,-8,West Coast,Southern
2021-12-03,South Dakota,93,Waldorf,37,South Dakota,56,Summit League,NA
2021-12-04,Gonzaga,82,Alabama,91,Gonzaga,-9,West Coast,Southeastern
2021-12-04,Tulane,85,Alcorn St.,64,Tulane,21,American Athletic,Southwest Athletic
2021-12-04,Howard,90,American,56,Howard,34,Mid-Eastern Athletic,Patriot League
2021-12-04,Baylor,99,Arkansas Pine Bluff,54,Baylor,45,Big 12,Southwest Athletic
2021-12-04,Air Force,76,Army,58,Air Force,18,Mountain West,Patriot League
2021-12-04,Boston University,68,Binghamton,63,Boston University,5,Patriot League,America East
2021-12-04,Hofstra,88,Bucknell,69,Hofstra,19,Colonial Athletic Association,Patriot League
2021-12-04,St. Bonaventure,68,Buffalo,65,St. Bonaventure,3,Atlantic 10,Mid-American
2021-12-04,Missouri St.,68,BYU,74,Missouri St.,-6,Missouri Valley,West Coast
2021-12-04,Fresno St.,61,Cal St. Northridge,43,Fresno St.,18,Mountain West,Big West
2021-12-04,UC Davis,81,California Merced,40,UC Davis,41,Big West,NA
2021-12-04,UMKC,94,Calvary,32,UMKC,62,Western Athletic,NA
2021-12-04,VCU,65,Campbell,61,VCU,4,Atlantic 10,Big South
2021-12-04,Arkansas St.,95,Central Arkansas,82,Arkansas St.,13,Sun Belt,Atlantic Sun
2021-12-04,New Hampshire,67,Central Connecticut,45,New Hampshire,22,America East,Northeast
2021-12-04,Miami FL,80,Clemson,75,Miami FL,5,Atlantic Coast,Atlantic Coast
2021-12-04,Florida Gulf Coast,78,Dartmouth,68,Florida Gulf Coast,10,Atlantic Sun,Ivy League
2021-12-04,Longwood,78,Delaware St.,58,Longwood,20,Big South,Mid-Eastern Athletic
2021-12-04,Princeton,81,Drexel,79,Princeton,2,Ivy League,Colonial Athletic Association
2021-12-04,Marshall,72,Duquesne,71,Marshall,1,Conference USA,Atlantic 10
2021-12-04,Western Kentucky,85,Eastern Kentucky,80,Western Kentucky,5,Conference USA,Atlantic Sun
2021-12-04,Nebraska Omaha,81,Eastern Washington,92,Nebraska Omaha,-11,Summit League,Big Sky
2021-12-04,East Carolina,62,Gardner Webb,52,East Carolina,10,American Athletic,Big South
2021-12-04,Charlotte,86,George Washington,79,Charlotte,7,Conference USA,Atlantic 10
2021-12-04,Mercer,83,Georgia St.,77,Mercer,6,Southern,Sun Belt
2021-12-04,Connecticut,88,Grambling St.,59,Connecticut,29,Big East,Southwest Athletic
2021-12-04,Massachusetts,87,Harvard,77,Massachusetts,10,Atlantic 10,Ivy League
2021-12-04,Elon,77,High Point,83,Elon,-6,Colonial Athletic Association,Big South
2021-12-04,La Salle,84,Holy Cross,65,La Salle,19,Atlantic 10,Patriot League
2021-12-04,Abilene Christian,98,Incarnate Word,65,Abilene Christian,33,Western Athletic,Southland
2021-12-04,Creighton,58,Iowa St.,64,Creighton,-6,Big East,Big 12
2021-12-04,Illinois St.,55,Jackson St.,61,Illinois St.,-6,Missouri Valley,Southwest Athletic
2021-12-04,Rice,100,Jarvis Christian,62,Rice,38,Conference USA,NA
2021-12-04,East Tennessee St.,90,Lenoir Rhyne,66,East Tennessee St.,24,Southern,NA
2021-12-04,Arkansas,93,Little Rock,78,Arkansas,15,Southeastern,Sun Belt
2021-12-04,Santa Clara,75,Louisiana Tech,78,Santa Clara,-3,West Coast,Conference USA
2021-12-04,N.C. State,68,Louisville,73,N.C. State,-5,Big Sky,Atlantic Coast
2021-12-04,DePaul,64,Loyola Chicago,68,DePaul,-4,Big East,Missouri Valley
2021-12-04,Long Beach St.,74,Loyola Marymount,77,Long Beach St.,-3,Big West,West Coast
2021-12-04,North Texas,73,LSU Shreveport,35,North Texas,38,Conference USA,NA
2021-12-04,Columbia,77,Maine,66,Columbia,11,Ivy League,America East
2021-12-04,Wisconsin,89,Marquette,76,Wisconsin,13,Big Ten,Big East
2021-12-04,Lehigh,75,Maryland Eastern Shore,81,Lehigh,-6,Patriot League,Mid-Eastern Athletic
2021-12-04,Wyoming,79,McNeese St.,58,Wyoming,21,Mountain West,Southland
2021-12-04,Mississippi,67,Memphis,63,Mississippi,4,Southeastern,American Athletic
2021-12-04,Indiana St.,69,Miami OH,68,Indiana St.,1,Missouri Valley,Mid-American
2021-12-04,Murray St.,93,Middle Tennessee,87,Murray St.,6,Ohio Valley,Conference USA
2021-12-04,Grand Canyon,91,Mississippi Valley St.,44,Grand Canyon,47,Western Athletic,Southwest Athletic
2021-12-04,Northern Colorado,78,Montana,75,Northern Colorado,3,Big Sky,Big Sky
2021-12-04,Sacramento St.,66,Montana St.,68,Sacramento St.,-2,Big Sky,Big Sky
2021-12-04,Loyola MD,61,Mount St. Mary's,55,Loyola MD,6,Patriot League,Northeast
2021-12-04,Indiana,68,Nebraska,55,Indiana,13,Big Ten,Big Ten
2021-12-04,Hampton,58,Norfolk St.,57,Hampton,1,Big South,Mid-Eastern Athletic
2021-12-04,UNC Asheville,82,North Carolina Central,66,UNC Asheville,16,Big South,Mid-Eastern Athletic
2021-12-04,Eastern Illinois,76,North Park,71,Eastern Illinois,5,Ohio Valley,NA
2021-12-04,Idaho St.,70,Northern Arizona,73,Idaho St.,-3,Big Sky,Big Sky
2021-12-04,Dayton,79,Northern Illinois,41,Dayton,38,Atlantic 10,Mid-American
2021-12-04,Purdue Fort Wayne,71,Northern Kentucky,57,Purdue Fort Wayne,14,Horizon League,Horizon League
2021-12-04,Louisiana Monroe,84,Northwestern St.,71,Louisiana Monroe,13,Sun Belt,Southland
2021-12-04,Seton Hall,113,Nyack,67,Seton Hall,46,Big East,NA
2021-12-04,IUPUI,45,Oakland,78,IUPUI,-33,Horizon League,Horizon League
2021-12-04,George Mason,50,Old Dominion,60,George Mason,-10,Atlantic 10,Conference USA
2021-12-04,Houston Baptist,67,Oral Roberts,85,Houston Baptist,-18,Southland,Summit League
2021-12-04,Cal St. Fullerton,66,Pacific,57,Cal St. Fullerton,9,Big West,West Coast
2021-12-04,Temple,81,Penn,72,Temple,9,American Athletic,Ivy League
2021-12-04,Weber St.,80,Portland St.,69,Weber St.,11,Big Sky,Big Sky
2021-12-04,West Virginia,67,Radford,51,West Virginia,16,Big 12,Big South
2021-12-04,Providence,66,Rhode Island,52,Providence,14,Big East,Atlantic 10
2021-12-04,Milwaukee,77,Robert Morris,69,Milwaukee,8,Horizon League,Horizon League
2021-12-04,Villanova,81,Saint Joseph's,52,Villanova,29,Big East,Atlantic 10
2021-12-04,Dixie St.,97,Saint Katherine,65,Dixie St.,32,Western Athletic,NA
2021-12-04,Colorado St.,74,Saint Mary's,58,Colorado St.,16,Mountain West,West Coast
2021-12-04,Michigan,72,San Diego St.,58,Michigan,14,Big Ten,Mountain West
2021-12-04,Bradley,80,SIU Edwardsville,55,Bradley,25,Missouri Valley,Ohio Valley
2021-12-04,Jacksonville St.,64,South Alabama,74,Jacksonville St.,-10,Atlantic Sun,Sun Belt
2021-12-04,Akron,79,Southern,62,Akron,17,Mid-American,Southwest Athletic
2021-12-04,Southern Illinois,66,Southern Miss,41,Southern Illinois,25,Missouri Valley,Conference USA
2021-12-04,Idaho,75,Southern Utah,81,Idaho,-6,Big Sky,Big Sky
2021-12-04,Texas A&M Corpus Chris,111,Southwestern,60,Texas A&M Corpus Chris,51,Southland,NA
2021-12-04,Ohio,78,St. Francis PA,75,Ohio,3,Mid-American,Northeast
2021-12-04,FIU,72,Stetson,65,FIU,7,NCAA,Atlantic Sun
2021-12-04,Florida St.,60,Syracuse,63,Florida St.,-3,Atlantic Coast,Atlantic Coast
2021-12-04,Colorado,54,Tennessee,69,Colorado,-15,Pacific-12,Southeastern
2021-12-04,Western Illinois,81,Tennessee Martin,64,Western Illinois,17,Summit League,Ohio Valley
2021-12-04,Chicago St.,59,Tennessee St.,49,Chicago St.,10,Western Athletic,Ohio Valley
2021-12-04,Evansville,59,Tennessee Tech,51,Evansville,8,Missouri Valley,Ohio Valley
2021-12-04,Michigan St.,81,Toledo,68,Michigan St.,13,Big Ten,Mid-American
2021-12-04,Saint Louis,72,UAB,77,Saint Louis,-5,Atlantic 10,Conference USA
2021-12-04,Merrimack,57,UMass Lowell,61,Merrimack,-4,Northeast,America East
2021-12-04,San Francisco,83,UNLV,62,San Francisco,21,West Coast,Mountain West
2021-12-04,Washington St.,61,USC,63,Washington St.,-2,Pacific-12,Pacific-12
2021-12-04,SMU,84,Vanderbilt,72,SMU,12,American Athletic,Southeastern
2021-12-04,Stony Brook,49,Wagner,78,Stony Brook,-29,America East,Northeast
2021-12-04,Virginia Tech,61,Wake Forest,80,Virginia Tech,-19,Atlantic Coast,Atlantic Coast
2021-12-04,Southeast Missouri St.,76,Webster,64,Southeast Missouri St.,12,Ohio Valley,NA
2021-12-04,USC Upstate,73,Western Carolina,78,USC Upstate,-5,Big South,Southern
2021-12-04,Stephen F. Austin,100,Wiley,76,Stephen F. Austin,24,Western Athletic,NA
2021-12-04,Davidson,70,William & Mary,46,Davidson,24,Atlantic 10,Colonial Athletic Association
2021-12-04,Coastal Carolina,74,Winthrop,64,Coastal Carolina,10,Sun Belt,Big South
2021-12-04,Cleveland St.,85,Wright St.,75,Cleveland St.,10,Horizon League,Horizon League
2021-12-04,Auburn,86,Yale,64,Auburn,22,Southeastern,Ivy League
2021-12-04,Green Bay,58,Youngstown St.,82,Green Bay,-24,Horizon League,Horizon League
2021-12-05,Oregon St.,65,Arizona,90,Oregon St.,-25,Pacific-12,Pacific-12
2021-12-05,Oregon,67,Arizona St.,69,Oregon,-2,Pacific-12,Pacific-12
2021-12-05,Samford,73,Belmont,85,Samford,-12,Southern,Ohio Valley
2021-12-05,UCF,81,Bethune Cookman,45,UCF,36,American Athletic,Southwest Athletic
2021-12-05,Cincinnati,73,Bryant,58,Cincinnati,15,American Athletic,Northeast
2021-12-05,UC Santa Barbara,87,Cal Lutheran,66,UC Santa Barbara,21,Big West,NA
2021-12-05,San Diego,52,Cal Poly,51,San Diego,1,West Coast,Big West
2021-12-05,Utah,66,California,58,Utah,8,Pacific-12,Pacific-12
2021-12-05,North Alabama,103,Carver,40,North Alabama,63,Atlantic Sun,NA
2021-12-05,Tarleton St.,57,Charleston Southern,59,Tarleton St.,-2,Western Athletic,Big South
2021-12-05,Lipscomb,64,Chattanooga,85,Lipscomb,-21,Atlantic Sun,Southern
2021-12-05,Bellarmine,92,Defiance,43,Bellarmine,49,Atlantic Sun,NA
2021-12-05,Texas St.,71,Denver,58,Texas St.,13,Sun Belt,Summit League
2021-12-05,Illinois Chicago,56,Detroit Mercy,64,Illinois Chicago,-8,Horizon League,Horizon League
2021-12-05,Niagara,71,Fairfield,81,Niagara,-10,Metro Atlantic Athletic,Metro Atlantic Athletic
2021-12-05,St. John's,83,Fordham,69,St. John's,14,Big East,Atlantic 10
2021-12-05,South Carolina,80,Georgetown,67,South Carolina,13,Southeastern,Big East
2021-12-05,St. Francis NY,55,Hartford,68,St. Francis NY,-13,Northeast,America East
2021-12-05,Wichita St.,59,Kansas St.,65,Wichita St.,-6,American Athletic,Big 12
2021-12-05,Wofford,88,Kennesaw St.,62,Wofford,26,Southern,Atlantic Sun
2021-12-05,Cornell,122,Keuka,64,Cornell,58,Ivy League,NA
2021-12-05,Rider,67,Marist,79,Rider,-12,Metro Atlantic Athletic,Metro Atlantic Athletic
2021-12-05,Austin Peay,98,Milligan,55,Austin Peay,43,Ohio Valley,NA
2021-12-05,Mississippi St.,76,Minnesota,81,Mississippi St.,-5,Southeastern,Big Ten
2021-12-05,Canisius,65,Monmouth,79,Canisius,-14,Metro Atlantic Athletic,Metro Atlantic Athletic
2021-12-05,Lafayette,86,NJIT,90,Lafayette,-4,Patriot League,America East
2021-12-05,Georgia Tech,62,North Carolina,79,Georgia Tech,-17,Atlantic Coast,Atlantic Coast
2021-12-05,Florida Atlantic,76,North Florida,41,Florida Atlantic,35,Conference USA,Atlantic Sun
2021-12-05,Maryland,61,Northwestern,67,Maryland,-6,Big Ten,Big Ten
2021-12-05,Eastern Michigan,79,Northwood MI,57,Eastern Michigan,22,Mid-American,NA
2021-12-05,Penn St.,64,Ohio St.,76,Penn St.,-12,Big Ten,Big Ten
2021-12-05,Lamar,67,Our Lady of the Lake,64,Lamar,3,Western Athletic,NA
2021-12-05,Manhattan,73,Quinnipiac,90,Manhattan,-17,Metro Atlantic Athletic,Metro Atlantic Athletic
2021-12-05,Northern Iowa,52,Richmond,60,Northern Iowa,-8,Missouri Valley,Atlantic 10
2021-12-05,Brown,79,Sacred Heart,66,Brown,13,Ivy League,Northeast
2021-12-05,Saint Peter's,58,Siena,60,Saint Peter's,-2,Metro Atlantic Athletic,Metro Atlantic Athletic
2021-12-05,Troy,68,Southeastern Louisiana,72,Troy,-4,Sun Belt,Southland
2021-12-05,Drake,74,St. Thomas,64,Drake,10,Missouri Valley,Summit League
2021-12-05,Delaware,70,UMBC,60,Delaware,10,Colonial Athletic Association,America East
2021-12-05,Western Michigan,60,Valparaiso,71,Western Michigan,-11,Mid-American,Missouri Valley
2021-12-05,Seattle,82,VMI,89,Seattle,-7,Western Athletic,Southern
2021-12-05,Central Michigan,70,Western Illinois,97,Central Michigan,-27,Mid-American,Summit League
2021-12-05,Oklahoma St.,71,Xavier,77,Oklahoma St.,-6,Big 12,Big East
2021-12-06,Houston,77,Alcorn St.,45,Houston,32,American Athletic,Southwest Athletic
2021-12-06,Harvard,74,Babson,64,Harvard,10,Ivy League,NA
2021-12-06,Colgate,89,Columbia,61,Colgate,28,Patriot League,Ivy League
2021-12-06,Liberty,96,Delaware St.,60,Liberty,36,Atlantic Sun,Mid-Eastern Athletic
2021-12-06,Iowa,83,Illinois,87,Iowa,-4,Big Ten,Big Ten
2021-12-06,Coastal Carolina,69,Mercer,74,Coastal Carolina,-5,Sun Belt,Southern
2021-12-06,Morgan St.,77,Millersville,71,Morgan St.,6,Mid-Eastern Athletic,NA
2021-12-06,New Mexico,76,New Mexico St.,78,New Mexico,-2,Mountain West,Western Athletic
2021-12-06,The Citadel,80,North Carolina Central,67,The Citadel,13,Southern,Mid-Eastern Athletic
2021-12-06,Morehead St.,71,Presbyterian,66,Morehead St.,5,Ohio Valley,Big South
2021-12-06,Pepperdine,82,San Jose St.,69,Pepperdine,13,West Coast,Mountain West
2021-12-06,Florida,54,Texas Southern,69,Florida,-15,Southeastern,Southwest Athletic
2021-12-06,Kent St.,58,Towson,73,Kent St.,-15,Mid-American,Colonial Athletic Association
2021-12-06,Georgia St.,80,Voorhees,51,Georgia St.,29,Sun Belt,NA
2021-12-07,Yale,71,Albany,52,Yale,19,Ivy League,America East
2021-12-07,Saint Louis,59,Belmont,64,Saint Louis,-5,Atlantic 10,Ohio Valley
2021-12-07,Cal St. Northridge,48,Boise St.,74,Cal St. Northridge,-26,Big West,Mountain West
2021-12-07,Toledo,67,Bradley,65,Toledo,2,Mid-American,Missouri Valley
2021-12-07,Merrimack,56,Brown,76,Merrimack,-20,Northeast,Ivy League
2021-12-07,Princeton,82,Bucknell,69,Princeton,13,Ivy League,Patriot League
2021-12-07,Oklahoma,62,Butler,66,Oklahoma,-4,Big 12,Big East
2021-12-07,Houston Baptist,84,Champion Christian,67,Houston Baptist,17,Southland,NA
2021-12-07,Tulane,72,Charleston,86,Tulane,-14,American Athletic,Colonial Athletic Association
2021-12-07,Arkansas,86,Charlotte,66,Arkansas,20,Southeastern,Conference USA
2021-12-07,Campbell,74,Columbia International,56,Campbell,18,Big South,NA
2021-12-07,Tarleton St.,84,Dallas Christian,65,Tarleton St.,19,Western Athletic,NA
2021-12-07,DePaul,87,Duquesne,67,DePaul,20,Big East,Atlantic 10
2021-12-07,Valparaiso,101,East West,58,Valparaiso,43,Missouri Valley,NA
2021-12-07,Missouri,72,Eastern Illinois,44,Missouri,28,Southeastern,Ohio Valley
2021-12-07,USC,80,Eastern Kentucky,68,USC,12,Pacific-12,Atlantic Sun
2021-12-07,La Salle,81,Fairleigh Dickinson,55,La Salle,26,Atlantic 10,Northeast
2021-12-07,Florida A&M,55,Florida Gulf Coast,69,Florida A&M,-14,Southwest Athletic,Atlantic Sun
2021-12-07,Winthrop,85,Furman,80,Winthrop,5,Big South,Southern
2021-12-07,High Point,64,Guilford,59,High Point,5,Big South,NA
2021-12-07,Georgia,69,Jacksonville,58,Georgia,11,Southeastern,Atlantic Sun
2021-12-07,Tulsa,55,Loyola Marymount,60,Tulsa,-5,American Athletic,West Coast
2021-12-07,Northeastern,82,Massachusetts,76,Northeastern,6,Colonial Athletic Association,Atlantic 10
2021-12-07,Nebraska,67,Michigan,102,Nebraska,-35,Big Ten,Big Ten
2021-12-07,Santa Clara,88,Mount St. Mary's,77,Santa Clara,11,West Coast,Northeast
2021-12-07,George Mason,71,Navy,65,George Mason,6,Atlantic 10,Patriot League
2021-12-07,East Carolina,82,North Carolina A&T,71,East Carolina,11,American Athletic,Big South
2021-12-07,Cal Baptist,89,North Dakota,71,Cal Baptist,18,Western Athletic,Summit League
2021-12-07,Montana St.,68,North Dakota St.,49,Montana St.,19,Big Sky,Summit League
2021-12-07,Bowling Green,73,Oakland,72,Bowling Green,1,Mid-American,Horizon League
2021-12-07,William & Mary,59,Old Dominion,74,William & Mary,-15,Colonial Athletic Association,Conference USA
2021-12-07,Army,97,Purchase,40,Army,57,Patriot League,NA
2021-12-07,Loyola Chicago,88,Roosevelt,49,Loyola Chicago,39,Missouri Valley,NA
2021-12-07,Rhode Island,72,Sacred Heart,62,Rhode Island,10,Atlantic 10,Northeast
2021-12-07,Northern Colorado,74,South Dakota,69,Northern Colorado,5,Big Sky,Summit League
2021-12-07,Kentucky,76,Southern,64,Kentucky,12,Southeastern,Southwest Athletic
2021-12-07,Vanderbilt,68,Temple,72,Vanderbilt,-4,Southeastern,American Athletic
2021-12-07,Tennessee,52,Texas Tech,57,Tennessee,-5,Southeastern,Big 12
2021-12-07,Kansas,78,UTEP,52,Kansas,26,Big 12,Conference USA
2021-12-07,Providence,68,Vermont,58,Providence,10,Big East,America East
2021-12-07,Syracuse,53,Villanova,67,Syracuse,-14,Atlantic Coast,Big East
2021-12-07,James Madison,52,Virginia,49,James Madison,3,Colonial Athletic Association,Atlantic Coast
2021-12-08,Montana,66,Air Force,48,Montana,18,Big Sky,Mountain West
2021-12-08,North Alabama,56,Alabama A&M,45,North Alabama,11,Atlantic Sun,Southwest Athletic
2021-12-08,Arkansas Pine Bluff,73,Arkansas St.,84,Arkansas Pine Bluff,-11,Southwest Athletic,Sun Belt
2021-12-08,Xavier,96,Ball St.,50,Xavier,46,Big East,Mid-American
2021-12-08,Long Beach St.,102,Bethesda,69,Long Beach St.,33,Big West,Pacific Christian Athletic
2021-12-08,Marshall,100,Bluefield,57,Marshall,43,Conference USA,NA
2021-12-08,Marshall,100,Bluefield,57,Marshall,43,Conference USA,NA
2021-12-08,Western Kentucky,67,Buffalo,77,Western Kentucky,-10,Conference USA,Mid-American
2021-12-08,San Diego St.,66,Cal St. Fullerton,56,San Diego St.,10,Mountain West,Big West
2021-12-08,Northern Kentucky,75,Canisius,62,Northern Kentucky,13,Horizon League,Metro Atlantic Athletic
2021-12-08,Georgia Southern,85,Carver,43,Georgia Southern,42,Sun Belt,NA
2021-12-08,Youngstown St.,84,Central Michigan,77,Youngstown St.,7,Horizon League,Mid-American
2021-12-08,UNC Asheville,73,Chattanooga,78,UNC Asheville,-5,Big South,Southern
2021-12-08,Maryland Eastern Shore,102,Clarks Summit,58,Maryland Eastern Shore,44,Mid-Eastern Athletic,NA
2021-12-08,West Virginia,56,Connecticut,53,West Virginia,3,Big 12,Big East
2021-12-08,George Washington,75,Coppin St.,62,George Washington,13,Atlantic 10,Mid-Eastern Athletic
2021-12-08,Virginia Tech,93,Cornell,60,Virginia Tech,33,Atlantic Coast,Ivy League
2021-12-08,SMU,77,Dayton,69,SMU,8,American Athletic,Atlantic 10
2021-12-08,Nebraska Omaha,70,Drake,78,Nebraska Omaha,-8,Summit League,Missouri Valley
2021-12-08,Colorado,60,Eastern Washington,57,Colorado,3,Pacific-12,Big Sky
2021-12-08,Southeast Missouri St.,75,Evansville,73,Southeast Missouri St.,2,Ohio Valley,Missouri Valley
2021-12-08,San Francisco,71,Fresno St.,63,San Francisco,8,West Coast,Mountain West
2021-12-08,Hawaii,88,Hawaii Pacific,52,Hawaii,36,Big West,NA
2021-12-08,Stony Brook,79,Hofstra,62,Stony Brook,17,America East,Colonial Athletic Association
2021-12-08,Fairfield,74,Holy Cross,59,Fairfield,15,Metro Atlantic Athletic,Patriot League
2021-12-08,California,72,Idaho St.,46,California,26,Pacific-12,Big Sky
2021-12-08,Wisconsin,64,Indiana,59,Wisconsin,5,Big Ten,Big Ten
2021-12-08,VCU,66,Jacksonville St.,52,VCU,14,Atlantic 10,Atlantic Sun
2021-12-08,Delaware,68,Lafayette,58,Delaware,10,Colonial Athletic Association,Patriot League
2021-12-08,Robert Morris,99,Lancaster Bible,51,Robert Morris,48,Horizon League,NA
2021-12-08,Miami FL,76,Lipscomb,59,Miami FL,17,Atlantic Coast,Atlantic Sun
2021-12-08,Louisiana Monroe,89,Louisiana College,68,Louisiana Monroe,21,Sun Belt,NA
2021-12-08,St. Bonaventure,84,Loyola MD,71,St. Bonaventure,13,Atlantic 10,Patriot League
2021-12-08,Binghamton,51,Marist,64,Binghamton,-13,America East,Metro Atlantic Athletic
2021-12-08,Kansas St.,63,Marquette,64,Kansas St.,-1,Big 12,Big East
2021-12-08,Louisiana,83,McNeese St.,68,Louisiana,15,Sun Belt,Southland
2021-12-08,Minnesota,67,Michigan St.,75,Minnesota,-8,Big Ten,Big Ten
2021-12-08,Little Rock,55,Missouri St.,81,Little Rock,-26,Sun Belt,Missouri Valley
2021-12-08,Bryant,76,New Hampshire,59,Bryant,17,Northeast,America East
2021-12-08,Eastern Michigan,60,Niagara,58,Eastern Michigan,2,Mid-American,Metro Atlantic Athletic
2021-12-08,Florida,85,North Florida,55,Florida,30,Southeastern,Atlantic Sun
2021-12-08,Florida Atlantic,84,Palm Beach Atlantic,63,Florida Atlantic,21,Conference USA,NA
2021-12-08,Saint Joseph's,78,Penn,71,Saint Joseph's,7,Atlantic 10,Ivy League
2021-12-08,SIU Edwardsville,80,Purdue Fort Wayne,59,SIU Edwardsville,21,Ohio Valley,Horizon League
2021-12-08,Dartmouth,69,Quinnipiac,72,Dartmouth,-3,Ivy League,Metro Atlantic Athletic
2021-12-08,Alabama St.,64,Samford,74,Alabama St.,-10,Southwest Athletic,Southern
2021-12-08,UNLV,76,Seattle,56,UNLV,20,Mountain West,Western Athletic
2021-12-08,Idaho,98,South Dakota St.,84,Idaho,14,Big Sky,Summit League
2021-12-08,Tarleton St.,81,Southwestern Assemblie,75,Tarleton St.,6,Western Athletic,NA
2021-12-08,Saint Peter's,60,St. Francis NY,71,Saint Peter's,-11,Metro Atlantic Athletic,Northeast
2021-12-08,American,83,St. Francis PA,73,American,10,Patriot League,Northeast
2021-12-08,Western Carolina,74,Tennessee Tech,69,Western Carolina,5,Southern,Ohio Valley
2021-12-08,Ohio St.,85,Towson,74,Ohio St.,11,Big Ten,Colonial Athletic Association
2021-12-08,Boston University,72,UMass Lowell,62,Boston University,10,Patriot League,America East
2021-12-08,Georgetown,100,UMBC,71,Georgetown,29,Big East,America East
2021-12-08,Texas A&M Corpus Chris,75,UT Rio Grande Valley,69,Texas A&M Corpus Chris,6,Southland,Western Athletic
2021-12-08,TCU,76,Utah,62,TCU,14,Big 12,Pacific-12
2021-12-08,BYU,82,Utah St.,71,BYU,11,West Coast,Mountain West
2021-12-08,Southern Utah,60,Utah Valley,56,Southern Utah,4,Big Sky,Western Athletic
2021-12-08,Penn St.,74,Wagner,54,Penn St.,20,Big Ten,Northeast
2021-12-08,Washington St.,94,Weber St.,60,Washington St.,34,Pacific-12,Big Sky
2021-12-08,Gardner Webb,70,Wofford,78,Gardner Webb,-8,Big South,Southern
2021-12-08,Arizona,94,Wyoming,65,Arizona,29,Pacific-12,Mountain West
2021-12-09,Bellarmine,87,Asbury,55,Bellarmine,32,Atlantic Sun,NA
2021-12-09,N.C. State,65,Bethune Cookman,48,N.C. State,17,Big Sky,Southwest Athletic
2021-12-09,North Carolina Central,102,Carver,50,North Carolina Central,52,Mid-Eastern Athletic,NA
2021-12-09,Pittsburgh,71,Colgate,68,Pittsburgh,3,Atlantic Coast,Patriot League
2021-12-09,New Mexico,87,Denver,67,New Mexico,20,Mountain West,Summit League
2021-12-09,Kent St.,69,Detroit Mercy,52,Kent St.,17,Mid-American,Horizon League
2021-12-09,Arizona St.,67,Grand Canyon,62,Arizona St.,5,Pacific-12,Western Athletic
2021-12-09,William & Mary,53,Hampton,54,William & Mary,-1,Colonial Athletic Association,Big South
2021-12-09,Iowa St.,73,Iowa,53,Iowa St.,20,Big 12,Big Ten
2021-12-09,Southern,86,Lindsey Wilson,68,Southern,18,Southwest Athletic,NA
2021-12-09,Fordham,73,LIU,57,Fordham,16,Atlantic 10,Northeast
2021-12-09,Gonzaga,80,Merrimack,55,Gonzaga,25,West Coast,Northeast
2021-12-09,St. John's,88,Monmouth,83,St. John's,5,Big East,Metro Atlantic Athletic
2021-12-09,Mississippi Valley St.,80,Nicholls St.,95,Mississippi Valley St.,-15,Southwest Athletic,Southland
2021-12-09,Rutgers,70,Purdue,68,Rutgers,2,Big Ten,Big Ten
2021-12-09,Seton Hall,64,Texas,60,Seton Hall,4,Big East,Big 12
2021-12-10,Furman,73,Appalachian St.,65,Furman,8,Southern,Sun Belt
2021-12-10,NJIT,49,Army,66,NJIT,-17,America East,Patriot League
2021-12-10,North Dakota St.,68,Cal St. Northridge,54,North Dakota St.,14,Summit League,Big West
2021-12-10,Louisville,55,DePaul,62,Louisville,-7,Atlantic Coast,Big East
2021-12-10,UMKC,64,Green Bay,55,UMKC,9,Western Athletic,Horizon League
2021-12-10,South Carolina St.,67,High Point,66,South Carolina St.,1,Mid-Eastern Athletic,Big South
